valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.495,2013,0.286,One Direction,0.515,188547,0.714,0,6nIE1oCE4udqMGv3bqVNVb,0,0,0.118,-4.516,1,Half a Heart,69,2013-11-25,0.0348,155.954
0.104,2014,0.874,Labrinth,0.439,287693,0.153,0,4L2K7JKseFCBoHMZEAszW0,0,1,0.107,-8.95,1,Jealous,24,2014-11-21,0.0479,116.76
0.21,2020,0.0698,Nick Wilson,0.659,184633,0.571,0,4HzmjPPHHiYwrXPq9Tv1fx,0,1,0.107,-5.654,0,Everybody But Me,57,2020-08-28,0.0371,122.949
0.0492,2019,0.653,Nina Nesbitt,0.535,232800,0.297,0,1WO6kvO7P8TOsuhBaqun5w,0,6,0.118,-6.043,1,Is It Really Me You're Missing,38,2019-02-01,0.0665,147.569
0.329,2018,0.606,Will Post,0.599,232814,0.527,0,1iZYLv8EeDqHogB1i6Y1Wl,0,6,0.104,-6.938,0,The Kindest Thing,50,2018-11-22,0.0465,93.09
0.416,2012,0.787,MKTO,0.313,184213,0.429,1,5tajmvqHF6YW1iiUFzKpCB,0,6,0.0863,-7.415,1,Wasted,64,2012,0.0343,77.27
0.316,2019,0.629,Kurt Hugo Schneider,0.692,162273,0.333,0,7iSool3PmS50F5St2bhmTU,0,7,0.176,-7.858,0,Someone You Loved - Acoustic,57,2019-10-05,0.029,110.108
0.194,2020,0.632,Lauren Aquilina,0.408,171439,0.247,1,5dQfHH55X0f2nfu9HvvRtz,0,3,0.0857,-11.063,1,Latest Ghost - Piano Version,50,2020-12-18,0.0328,90.845
0.413,2020,0.576,Emmanuel Franco,0.478,199520,0.566,0,4cPsK6f8ErDfqVNwJkSiKq,0.000142,7,0.448,-10.526,1,Feel Like Home,52,2020-11-18,0.0396,75.918
0.63,2020,0.557,Ashley Kutcher,0.333,204000,0.538,0,7y8Qy4I0VWGMEbZvZ0C9x7,0,4,0.0977,-8.653,1,Love You From a Distance,68,2020-10-30,0.0325,149.377
0.221,2019,0.718,Maisie Peters,0.396,201694,0.177,0,1a1SQeSqUKzH5OUVTEx4ae,0,5,0.139,-10.277,1,Favourite Ex,65,2019-04-12,0.0378,177.215
0.193,2013,0.0843,We The Kings,0.512,226330,0.559,0,7xpraKSakDJ6WWgjQEtvgT,0,1,0.0696,-5.498,1,Sad Song (feat. Elena Coats),0,2013-12-16,0.0253,85.017
0.354,2015,0.5,Demi Lovato,0.41,191308,0.462,0,3ioJ2eGWcONEvna37MpsiE,0,8,0.0975,-7.534,1,Stone Cold,0,2015-01-01,0.0515,139.861
0.238,2020,0.699,Nataliya Nikitenko,0.577,207146,0.377,0,4HwJ2gvewwzC3NsC9WwmlA,0,10,0.128,-6.669,1,Oil & Water,55,2020-12-18,0.0325,126.368
0.198,2019,0.978,Billie Eilish,0.367,196077,0.111,0,43zdsphuZLzwA9k4DJhU0I,3.97e-05,4,0.0897,-14.084,1,when the party's over,84,2019-03-29,0.0972,82.642
0.539,2021,0.0296,joan,0.614,212093,0.622,0,45BmSERHSfZFaLH9oWtA1e,0,10,0.659,-8.264,1,brokenhearted (together),52,2021-02-11,0.0312,148.959
0.328,2021,0.436,Seaforth,0.531,223129,0.552,0,77Bt2DXJE1R1qsnm4D10Ox,0,1,0.0786,-5.945,1,Breakups,72,2021-01-14,0.0309,74.931
0.607,2018,0.749,Dan Berk,0.489,198713,0.314,0,4ptDJbJl35d7gQfeNteBwp,0,7,0.113,-9.245,0,Solo,58,2018-06-15,0.0331,124.234
