valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.522,2019,0.732,Nicholas Payton,0.593,459187,0.5,0,72WMLhzElYiDPqCf3LbCCx,0.281,0,0.724,-9.43,0,Relaxin' with Nick,37,2019-09-26,0.0627,85.499
0.799,1996,0.302,Stanley Turrentine,0.468,364627,0.612,0,1kWrVpHACTz4Cy4OS7BaAi,0.00021,7,0.124,-9.747,1,The Magilla,37,1996-01-01,0.0328,108.136
0.457,2019,0.832,Massimo Faraò,0.606,320173,0.259,0,3LaeuU3ARGFpakTK7o06Ue,0.857,1,0.124,-15.484,1,Just Friends,38,2019-08-16,0.0591,116.28
0.536,1966,0.78,Dexter Gordon,0.686,422400,0.372,0,2dk9zmPIOjVXhUgeLgfKNU,2.73e-05,0,0.101,-12.663,1,Le Coiffeur,43,1966-08-01,0.0356,118.562
0.576,1998,0.762,Denis Solee,0.568,265093,0.418,0,7hkaJ4CZ3LIDjCVFXAp6N6,0.882,5,0.096,-9.218,1,That Old Black Magic,39,1998,0.0298,92.956
0.811,2012,0.676,Various Artists,0.503,181016,0.521,0,3LjzOkPLf42Hqh9XLcLCXj,2.82e-06,8,0.186,-12.477,1,Four Brothers,0,2012-01-01,0.206,79.046
0.505,2021,0.692,La La Lars,0.29,288880,0.58,0,08QqsW8X9jG2EfZX5rA5FY,0.933,7,0.368,-8.18,0,Pour Qui Pourquoi,33,2021-05-19,0.0346,89.848
0.627,2016,0.704,Seamus Blake,0.603,331093,0.427,0,253d4aC4Tj6HBzA8mfwcbm,0.0263,0,0.0676,-11.434,1,A Little Evil,36,2016-06-17,0.0328,128.363
0.664,1958,0.787,Lou Donaldson,0.704,331333,0.214,0,0CaMKN4Fu6WKHBW38JazrY,0.00209,3,0.0923,-17.339,1,Play Ray,41,1958,0.0617,77.52
0.644,2018,0.627,Kresten Osgood,0.523,192227,0.503,0,5hPQlfdBxE6TSpLzI1Xn3f,0.0344,4,0.089,-10.796,0,CRAZY WITCH GAME,0,2018-11-30,0.0384,109.919
