valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.758,2016,0.265,Nao,0.542,206160,0.558,0,0uII79GWhvmTIvruhfIXlf,0,11,0.117,-6.654,0,Fool to Love,50,2016-07-29,0.262,94.11
0.428,2019,0.0817,Doja Cat,0.77,199587,0.697,1,4cTm3Ev9bUvy4ChJjB1nhl,0,0,0.0663,-2.644,1,Juicy,67,2019-03-01,0.0607,170.084
0.19,2019,0.361,Vagabon,0.792,272230,0.723,0,1CON7om9HhIyr8cuZ6WmzC,0.0919,1,0.103,-9.673,0,Water Me Down,51,2019-10-18,0.0469,115.425
0.459,2020,0.0494,JVKE,0.88,114500,0.501,0,614OkajfRPH8V0ugNQnduP,0.0695,2,0.436,-6.774,1,Upside Down,17,2020-08-18,0.062,120.038
0.536,2020,0.217,Oceans Ahead,0.939,156983,0.842,0,4Wmi9YUyrXpHrI7IzpxmDk,4.1e-06,1,0.161,-4.112,0,Traffic Lights,42,2020-03-13,0.119,116.063
0.756,2020,0.221,24kGoldn,0.7,140526,0.722,1,3tjFYV6RSFtuktYl3ZtYcq,0,7,0.272,-3.558,0,Mood (feat. iann dior),65,2020-07-24,0.0369,90.989
0.476,2019,0.65,Sista Prod,0.736,154550,0.279,0,2RrZbxdl9nuFMCrO71tXTG,0.000312,9,0.246,-16.926,0,Eyes Blue Like The Atlantic,0,2019-04-25,0.903,76.431
0.331,2018,0.53,Oceans Ahead,0.835,171240,0.407,0,2LJNrBVuCNjU0qoSYZNyTU,0.0681,11,0.178,-13.217,0,Down,51,2018-04-27,0.0442,109.987
0.452,2020,0.336,Claire Rosinkranz,0.819,129241,0.642,0,0y9fkzOaaQy4Up22BGUbIp,0,5,0.0735,-7.037,1,Backyard Boy,15,2020-06-08,0.189,138.026
0.522,2020,0.00667,WhoHeem,0.839,159955,0.683,1,0wYOlCybpxFc2azWLyYj0S,0,10,0.241,-9.232,0,Lets Link,1,2020-08-20,0.165,120.003
0.156,2019,0.242,Bea Miller,0.74,180161,0.415,1,7JDWhC422Gtk1Bq0mL3OTC,0.000156,0,0.319,-8.914,1,feel something,77,2019-06-21,0.0707,136.029
